SITE_NAME,STREET,LOCALITY,TOWN,COUNTY,POSTCODE,PARISH
BUCKLAND BREWER COMMUNITY PRIMARY SCHOOL,,BUCKLAND BREWER,BIDEFORD,DEVON,EX395LX,Buckland Brewer CP
CLAWTON PRIMARY SCHOOL,,CLAWTON,HOLSWORTHY,DEVON,EX226QN,Clawton CP
COMBE MARTIN PRIMARY SCHOOL,HANGMAN PATH,COMBE MARTIN,ILFRACOMBE,DEVON,EX340DF,Combe Martin CP
EAST ANSTEY PRIMARY SCHOOL,,EAST ANSTEY,TIVERTON,DEVON,EX169JP,East Anstey CP
EAST WORLINGTON PRIMARY SCHOOL-MAIN SCHOOL SITE,,EAST WORLINGTON,CREDITON,DEVON,EX174TS,East Worlington CP
FILLEIGH COMMUNITY PRIMARY SCHOOL-MAIN SCHOOL SITE,CASTLE HILL,FILLEIGH,BARNSTAPLE,DEVON,EX320RS,Filleigh CP
FILLEIGH COMMUNITY PRIMARY SCHOOL-VILLAGE HALL SITE,CASTLE HILL,FILLEIGH,BARNSTAPLE,DEVON,EX320RS,Filleigh CP
FREMINGTON COMMUNITY PRIMARY & NURSERY SCHOOL,BEECHFIELD ROAD,FREMINGTON,BARNSTAPLE,DEVON,EX313DD,Fremington CP
GREAT TORRINGTON BLUECOATS C OF E PRIMARY SCHOOL,BOROUGH ROAD,BURWOOD,TORRINGTON,DEVON,EX387NU,Great Torrington CP
HARTLAND PRIMARY SCHOOL,NORTH ROAD,HARTLAND,BIDEFORD,DEVON,EX396BP,Hartland CP
BRAYFORD PRIMARY SCHOOL,NORTH ROAD,BRAYFORD,BARNSTAPLE,DEVON,EX327QJ,Brayford CP
HORWOOD AND NEWTON TRACEY COMMUNITY PRIMARY SCHOOL-MAIN SCHOOL SITE,LOVACOTT,,BARNSTAPLE,DEVON,EX313PU,"Horwood, Lovacott and Newton Tracey CP"
HORWOOD AND NEWTON TRACEY COMMUNITY PRIMARY SCHOOL-VILLAGE HALL SITE,LOVACOTT,,BARNSTAPLE,DEVON,EX313PU,"Horwood, Lovacott and Newton Tracey CP"
ILFRACOMBE INFANT AND NURSERY SCHOOL,MARLBOROUGH ROAD,,ILFRACOMBE,DEVON,EX348JL,Ilfracombe CP
INSTOW COMMUNITY PRIMARY SCHOOL-MAIN SCHOOL SITE,,INSTOW,BIDEFORD,DEVON,EX394LU,Instow CP
INSTOW COMMUNITY PRIMARY SCHOOL-DETACHED CAR PARK,,INSTOW,BIDEFORD,DEVON,EX394LU,Instow CP
