ITEM_TYPE_NAME,PARISH_NAME
MANHOLE,Northam CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Mortehoe CP
MANHOLE,Mortehoe CP
MANHOLE,Northam CP
MANHOLE,Northam CP
MANHOLE,Northam CP
MANHOLE,Northam CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Ogwell CP
MANHOLE,Ogwell CP
MANHOLE,Bovey Tracey CP
MANHOLE,Bovey Tracey CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Salcombe CP
MANHOLE,Salcombe CP
MANHOLE,Bovey Tracey CP
MANHOLE,Hennock CP
MANHOLE,Ivybridge CP
MANHOLE,Ivybridge CP
MANHOLE,Broadhempston CP
MANHOLE,Broadhempston CP
MANHOLE,South Brent CP
MANHOLE,South Brent CP
MANHOLE,Newton Abbot CP
MANHOLE,Ogwell CP
MANHOLE,Ogwell CP
MANHOLE,Bovey Tracey CP
MANHOLE,Bovey Tracey CP
MANHOLE,Landkey CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Lynton and Lynmouth CP
MANHOLE,Lynton and Lynmouth CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Barnstaple CP
MANHOLE,Landkey CP
MANHOLE,Landkey CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Mortehoe CP
MANHOLE,Mortehoe CP
MANHOLE,Alwington CP
MANHOLE,Bideford CP
MANHOLE,Northam CP
MANHOLE,Northam CP
MANHOLE,Great Torrington CP
MANHOLE,Great Torrington CP
MANHOLE,Shaldon CP
MANHOLE,Shaldon CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Modbury CP
MANHOLE,Totnes CP
MANHOLE,Hennock CP
MANHOLE,Hennock CP
MANHOLE,Broadhempston CP
MANHOLE,Broadhempston CP
MANHOLE,Broadhempston CP
MANHOLE,Stokeinteignhead CP
MANHOLE,South Brent CP
MANHOLE,South Brent CP
MANHOLE,Whitestone CP
MANHOLE,Whitestone CP
MANHOLE,Modbury CP
MANHOLE,Modbury CP
MANHOLE,Sparkwell CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Lynton and Lynmouth CP
MANHOLE,Lynton and Lynmouth CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Landkey CP
MANHOLE,Landkey CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Mortehoe CP
MANHOLE,Mortehoe CP
MANHOLE,Alwington CP
MANHOLE,Alwington CP
MANHOLE,Bideford CP
MANHOLE,Northam CP
MANHOLE,Northam CP
MANHOLE,Marwood CP
MANHOLE,Marwood CP
MANHOLE,Shaldon CP
MANHOLE,Shaldon CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Bovey Tracey CP
MANHOLE,Bovey Tracey CP
MANHOLE,Hennock CP
MANHOLE,Hennock CP
MANHOLE,Broadhempston CP
MANHOLE,Broadhempston CP
MANHOLE,Stokeinteignhead CP
MANHOLE,Stokeinteignhead CP
MANHOLE,South Brent CP
MANHOLE,South Brent CP
MANHOLE,Whitestone CP
MANHOLE,Whitestone CP
MANHOLE,South Brent CP
MANHOLE,Buckfastleigh CP
MANHOLE,Dartmouth CP
MANHOLE,Dartmouth CP
MANHOLE,Bideford CP
MANHOLE,Alwington CP
MANHOLE,Alwington CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
